source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
96,24,187,3,255,219,292.0,164
96,24,211,3,265,232,301.0,168
96,24,235,3,333,275,366.0,217
96,96,91,1,126,121,143.0,94
96,96,187,1,269,235,303.0,178
96,96,283,1,395,333,438.0,266
96,96,379,1,571,439,579.0,351
96,96,475,1,740,546,729.0,451
96,96,571,1,897,635,865.0,524
96,96,667,1,1052,718,978.0,598
96,96,763,1,1186,777,1082.0,665
96,96,859,1,1364,905,1263.0,779
96,96,955,1,1519,974,1377.0,838
96,96,91,2,117,119,136.0,87
96,96,187,2,252,221,290.0,177
96,96,283,2,422,329,450.0,277
96,96,379,2,579,441,588.0,361
96,96,475,2,740,534,724.0,440
96,96,571,2,878,627,862.0,512
96,96,667,2,1017,683,954.0,565
96,96,763,2,1213,831,1111.0,688
96,96,859,2,1365,915,1255.0,762
96,96,955,2,1435,963,1349.0,806
96,96,91,3,111,108,131.0,82
96,96,187,3,243,206,272.0,164
96,96,283,3,417,331,437.0,261
96,96,379,3,583,442,586.0,355
96,96,475,3,670,506,667.0,407
96,96,571,3,857,621,821.0,505
96,96,667,3,1044,695,963.0,604
96,96,763,3,1201,814,1123.0,682
96,96,859,3,1376,927,1269.0,767
96,96,955,3,1509,980,1394.0,841
96,384,379,1,549,477,535.0,367
96,384,763,1,1259,968,1073.0,750
96,384,1147,1,1912,1380,1561.0,1105
96,384,1531,1,2571,1780,2043.0,1422
96,384,1915,1,3193,2211,2531.0,1768
96,384,2299,1,3863,2512,3011.0,2077
96,384,2683,1,4482,2962,3524.0,2436
96,384,3067,1,5121,3342,3965.0,2801
96,384,3451,1,5746,3688,4454.0,3123
96,384,3835,1,6331,4052,4963.0,3559
96,384,379,2,590,505,568.0,399
96,384,763,2,1255,975,1066.0,762
96,384,1147,2,1881,1352,1557.0,1073
96,384,1531,2,2536,1762,2075.0,1409
96,384,1915,2,3209,2188,2542.0,1764
96,384,2299,2,3755,2483,2964.0,2063
96,384,2683,2,4501,2912,3491.0,2416
96,384,3067,2,5127,3184,3988.0,2749
96,384,3451,2,5729,3705,4477.0,3171
96,384,3835,2,6316,3983,4933.0,3513
96,384,379,3,590,513,589.0,395
96,384,763,3,1230,950,1072.0,761
96,384,1147,3,1883,1336,1558.0,1082
96,384,1531,3,2553,1774,2064.0,1439
96,384,1915,3,3129,2129,2486.0,1701
96,384,2299,3,3847,2565,2997.0,2090
96,384,2683,3,4501,2928,3513.0,2433
96,384,3067,3,4978,3197,3868.0,2712
96,384,3451,3,5683,3712,4440.0,3154
96,384,3835,3,6253,3984,4872.0,3496
384,12,7,1,8,8,8.0,8
384,12,19,1,25,28,27.0,18
384,12,31,1,52,54,54.0,35
384,12,43,1,65,64,66.0,46
384,12,55,1,69,72,74.0,52
384,12,67,1,108,106,114.0,82
384,12,79,1,121,122,131.0,88
384,12,91,1,147,144,154.0,109
384,12,103,1,137,137,148.0,95
384,12,115,1,175,178,195.0,127
384,12,7,2,8,8,8.0,7
384,12,19,2,28,27,28.0,22
384,12,31,2,48,50,52.0,36
384,12,43,2,74,73,73.0,53
384,12,55,2,87,89,95.0,67
384,12,67,2,105,107,113.0,74
384,12,79,2,120,117,124.0,86
384,12,91,2,142,137,150.0,95
384,12,103,2,157,156,173.0,112
384,12,115,2,169,163,192.0,120
384,12,7,3,11,11,11.0,9
384,12,19,3,32,32,33.0,23
384,12,31,3,42,43,44.0,34
384,12,43,3,66,66,67.0,52
384,12,55,3,86,84,92.0,63
384,12,67,3,80,80,82.0,58
384,12,79,3,129,130,134.0,95
384,12,91,3,138,137,150.0,100
384,12,103,3,149,142,161.0,102
384,12,115,3,159,159,171.0,117
384,24,19,1,31,30,32.0,24
384,24,43,1,70,70,74.0,53
384,24,67,1,102,103,109.0,77
384,24,91,1,122,124,127.0,91
384,24,115,1,187,179,198.0,115
384,24,139,1,222,209,235.0,149
384,24,163,1,244,240,271.0,165
384,24,187,1,264,248,295.0,177
384,24,211,1,308,296,337.0,205
384,24,235,1,369,335,401.0,255
384,24,19,2,30,32,31.0,27
384,24,43,2,49,49,51.0,37
384,24,67,2,107,103,107.0,74
384,24,91,2,147,147,157.0,110
384,24,115,2,182,175,195.0,135
384,24,139,2,216,206,238.0,151
384,24,163,2,254,239,280.0,170
384,24,187,2,293,271,320.0,197
384,24,211,2,327,291,355.0,215
384,24,235,2,372,331,399.0,239
384,24,19,3,33,33,33.0,29
384,24,43,3,53,53,53.0,42
384,24,67,3,91,89,98.0,71
384,24,91,3,141,135,149.0,104
384,24,115,3,183,180,196.0,131
384,24,139,3,207,188,223.0,136
384,24,163,3,233,213,248.0,158
384,24,187,3,296,282,317.0,202
384,24,211,3,337,301,352.0,214
384,24,235,3,373,340,400.0,242
384,96,91,1,142,137,153.0,107
384,96,187,1,294,275,314.0,202
384,96,283,1,455,386,489.0,303
384,96,379,1,578,499,615.0,379
384,96,475,1,782,630,787.0,483
384,96,571,1,948,740,963.0,578
384,96,667,1,1127,838,1113.0,660
384,96,763,1,1263,949,1249.0,747
384,96,859,1,1394,998,1342.0,787
384,96,955,1,1624,1157,1570.0,916
384,96,91,2,143,139,148.0,117
384,96,187,2,295,279,319.0,209
384,96,283,2,438,399,476.0,298
384,96,379,2,618,523,640.0,389
384,96,475,2,784,622,788.0,472
384,96,571,2,905,711,919.0,548
384,96,667,2,1091,838,1102.0,651
384,96,763,2,1297,954,1282.0,756
384,96,859,2,1464,1055,1421.0,838
384,96,955,2,1562,1153,1536.0,901
384,96,91,3,131,130,141.0,99
384,96,187,3,306,287,319.0,200
384,96,283,3,412,370,455.0,279
384,96,379,3,564,480,599.0,371
384,96,475,3,765,616,779.0,481
384,96,571,3,906,732,929.0,559
384,96,667,3,1118,853,1111.0,641
384,96,763,3,1235,943,1228.0,733
384,96,859,3,1455,1054,1430.0,836
