source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
384,24,168,3,457,449,482.7,340.55
384,24,192,3,525,496,560.0,366.07
384,24,216,3,592,561,631.05,425.62
384,24,240,3,671,628,719.48,470.01
384,96,96,1,277,270,285.2,222.73
384,96,192,1,546,527,578.47,408.93
384,96,288,1,804,719,848.81,561.78
384,96,384,1,1078,958,1136.61,759.1
384,96,480,1,1383,1165,1410.6,944.62
384,96,576,1,1633,1352,1685.69,1083.99
384,96,672,1,1969,1580,1987.4,1283.12
384,96,768,1,2273,1850,2313.42,1467.22
384,96,864,1,2505,1981,2532.75,1615.31
384,96,960,1,2813,2219,2808.77,1771.75
384,96,96,2,270,264,282.95,216.46
384,96,192,2,547,515,574.81,409.35
384,96,288,2,806,749,870.27,594.69
384,96,384,2,1076,958,1130.42,762.56
384,96,480,2,1360,1145,1400.48,927.08
384,96,576,2,1657,1369,1681.03,1097.82
384,96,672,2,1947,1589,1997.75,1304.42
384,96,768,2,2212,1784,2234.23,1452.47
384,96,864,2,2520,2005,2538.24,1594.83
384,96,960,2,2791,2165,2781.18,1729.01
384,96,96,3,274,272,283.49,217.54
384,96,192,3,525,499,560.84,389.72
384,96,288,3,805,734,847.33,592.08
384,96,384,3,1097,952,1142.86,750.8
384,96,480,3,1402,1190,1447.51,927.47
384,96,576,3,1661,1370,1702.01,1093.16
384,96,672,3,1966,1636,2010.72,1313.13
384,96,768,3,2270,1774,2268.79,1469.67
384,96,864,3,2536,1983,2524.29,1596.46
384,96,960,3,2839,2262,2835.39,1798.57
384,384,384,1,1082,946,1114.12,827.31
384,384,768,1,2240,1809,2217.72,1552.86
384,384,1152,1,3423,2642,3371.97,2273.38
384,384,1536,1,4575,3479,4472.83,2900.37
384,384,1920,1,5731,4258,5600.68,3603.72
384,384,2304,1,6915,5015,6747.89,4305.41
384,384,2688,1,7973,5815,7812.86,4962.07
384,384,3072,1,9093,6536,8958.29,5648.3
384,384,3456,1,10284,7346,10136.56,6435.05
384,384,3840,1,11451,8196,11294.01,7142.77
384,384,384,2,1057,944,1093.91,838.71
384,384,768,2,2267,1844,2251.93,1554.47
384,384,1152,2,3417,2649,3360.86,2267.97
384,384,1536,2,4563,3423,4472.37,2933.28
384,384,1920,2,5740,4304,5628.14,3662.79
384,384,2304,2,6933,5114,6766.21,4377.47
384,384,2688,2,7983,5852,7848.42,4973.62
384,384,3072,2,9181,6639,9025.75,5721.93
384,384,3456,2,10358,7394,10221.11,6460.61
384,384,3840,2,11437,8113,11279.75,7130.64
384,384,384,3,1106,944,1120.53,840.17
384,384,768,3,2230,1769,2218.64,1566.46
384,384,1152,3,3423,2656,3354.85,2252.22
384,384,1536,3,4582,3436,4491.09,2947.71
384,384,1920,3,5708,4252,5586.6,3627.68
384,384,2304,3,6886,5100,6770.9,4332.2
384,384,2688,3,8026,5904,7886.83,5022.92
384,384,3072,3,9110,6545,8965.75,5636.49
384,384,3456,3,10285,7398,10132.07,6406.04
384,384,3840,3,11417,8197,11256.69,7122.0
